Release 6.1i - Fit G.26
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

11-27-2006  4:13PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  ebi2hpi.ngd
output file: ebi2hpi_pad.csv
Part type:   xc9572xl
Speed grade: -10
Package:     vq64

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,RDn,I,I/O,INPUT,,,,,,,,,
P2,A<1>,I,I/O/GTS2,INPUT,,,,,,,,,
P3,VCC,,VCCINT,,,,,,,,,,
P4,D<0>,I/O,I/O,BIDIR,,,,,,,,,
P5,D<1>,I/O,I/O/GTS1,BIDIR,,,,,,,,,
P6,A<5>,I,I/O,INPUT,,,,,,,,,
P7,A<4>,I,I/O,INPUT,,,,,,,,,
P8,A<3>,I,I/O,INPUT,,,,,,,,,
P9,A<2>,I,I/O,INPUT,,,,,,,,,
P10,A<0>,I,I/O,INPUT,,,,,,,,,
P11,WRn,I,I/O,INPUT,,,,,,,,,
P12,CSn,I,I/O,INPUT,,,,,,,,,
P13,WAITn,O,I/O,OUTPUT,,,,,,,,,
P14,GND,,GND,,,,,,,,,,
P15,INTn,O,I/O/GCK1,OUTPUT,,,,,,,,,
P16,HRSTn<0>,O,I/O/GCK2,OUTPUT,,,,,,,,,
P17,HRSTn<1>,O,I/O/GCK3,OUTPUT,,,,,,,,,
P18,HRSTn<2>,O,I/O,OUTPUT,,,,,,,,,
P19,HRSTn<3>,O,I/O,OUTPUT,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,HINTn<0>,I,I/O,INPUT,,,,,,,,,
P24,HD<2>,I/O,I/O,BIDIR,,,,,,,,,
P25,HBIL,O,I/O,OUTPUT,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,HD<0>,I/O,I/O,BIDIR,,,,,,,,,
P28,TDI,,TDI,,,,,,,,,,
P29,TMS,,TMS,,,,,,,,,,
P30,TCK,,TCK,,,,,,,,,,
P31,HCNTL0,O,I/O,OUTPUT,,,,,,,,,
P32,HCNTL1,O,I/O,OUTPUT,,,,,,,,,
P33,HD<1>,I/O,I/O,BIDIR,,,,,,,,,
P34,CLKMD<1>,O,I/O,OUTPUT,,,,,,,,,
P35,CLKMD<2>,O,I/O,OUTPUT,,,,,,,,,
P36,CLKMD<3>,O,I/O,OUTPUT,,,,,,,,,
P37,VCC,,VCCINT,,,,,,,,,,
P38,HINTn<1>,I,I/O,INPUT,,,,,,,,,
P39,HINTn<2>,I,I/O,INPUT,,,,,,,,,
P40,HINTn<3>,I,I/O,INPUT,,,,,,,,,
P41,GND,,GND,,,,,,,,,,
P42,TIE,,I/O,,,,,,,,,,
P43,HCSn<1>,O,I/O,OUTPUT,,,,,,,,,
P44,HCSn<0>,O,I/O,OUTPUT,,,,,,,,,
P45,HCSn<2>,O,I/O,OUTPUT,,,,,,,,,
P46,HCSn<3>,O,I/O,OUTPUT,,,,,,,,,
P47,HD<3>,I/O,I/O,BIDIR,,,,,,,,,
P48,HD<7>,I/O,I/O,BIDIR,,,,,,,,,
P49,HD<5>,I/O,I/O,BIDIR,,,,,,,,,
P50,HD<4>,I/O,I/O,BIDIR,,,,,,,,,
P51,HDSn,O,I/O,OUTPUT,,,,,,,,,
P52,HD<6>,I/O,I/O,BIDIR,,,,,,,,,
P53,TDO,,TDO,,,,,,,,,,
P54,GND,,GND,,,,,,,,,,
P55,VCC,,VCCIO,,,,,,,,,,
P56,TIE,,I/O,,,,,,,,,,
P57,HR_Wn,O,I/O,OUTPUT,,,,,,,,,
P58,D<7>,I/O,I/O,BIDIR,,,,,,,,,
P59,D<6>,I/O,I/O,BIDIR,,,,,,,,,
P60,D<5>,I/O,I/O,BIDIR,,,,,,,,,
P61,D<4>,I/O,I/O,BIDIR,,,,,,,,,
P62,D<3>,I/O,I/O,BIDIR,,,,,,,,,
P63,D<2>,I/O,I/O,BIDIR,,,,,,,,,
P64,RESET,GSR/I,I/O/GSR,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


