Release 6.1.03i - Par G.26
Copyright (c) 1995-2003 Xilinx, Inc.  All rights reserved.

Sun Nov 26 05:49:15 2006


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       pub_map.ncd
OUTPUT FILE:      pub_pad.csv
PART TYPE:        xc2s100
SPEED GRADE:      -5
PACKAGE:          tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,
P1,,,VCCO,,,0,,,,,na,,
P2,,,TCK,,,,,,,,,,
P3,,IOB,,UNUSED,,0,,,,,,,
P4,,IOB,,UNUSED,,0,,,,,,,
P5,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P6,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P7,,IOB,,UNUSED,,0,,,,,,,
P8,,,GND,,,,,,,,,,
P9,,,VCCINT,,,,,,,,2.5,,
P10,,IOB,,UNUSED,,0,,,,,,,
P11,,IOB,,UNUSED,,0,,,,,,,
P12,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P13,,IOB,,UNUSED,,0,,,,,,,
P14,,,VCCINT,,,,,,,,2.5,,
P15,CLK16M,GCLKIOB,GCK3,INPUT,LVTTL,0,,,,,,LOCATED,
P16,,,VCCO,,,0,,,,,na,,
P17,,,GND,,,,,,,,,,
P18,,GCLKIOB,GCK2,UNUSED,,(0,1)***,,,,,,,
P19,KA_I<3>,IOB,,INPUT,LVTTL,(0,1)***,,,,NONE,,LOCATED,
P20,KA_IO<4>,IOB,,BIDIR,LVTTL,(0,1)***,24,SLOW,PULLUP,NONE,,LOCATED,
P21,KA_IO<5>,IOB,IO_VREF_1,BIDIR,LVTTL,(0,1)***,24,SLOW,PULLUP,NONE,,LOCATED,
P22,KA_I<0>,IOB,,INPUT,LVTTL,(0,1)***,,,,NONE,,LOCATED,
P23,KA_I<1>,IOB,,INPUT,LVTTL,(0,1)***,,,,NONE,,LOCATED,
P24,,,VCCINT,,,,,,,,2.5,,
P25,,,GND,,,,,,,,,,
P26,KA_I<2>,IOB,,INPUT,LVTTL,(0,1)***,,,,NONE,,LOCATED,
P27,CTX,IOB,IO_VREF_1,BIDIR,LVTTL,(0,1)***,24,FAST,NONE**,NONE,,LOCATED,
P28,CRX,IOB,IO_VREF_1,INPUT,LVTTL,(0,1)***,,,,NONE,,LOCATED,
P29,CLK4M,IOB,,BIDIR,LVTTL,(0,1)***,24,FAST,NONE**,NONE,,LOCATED,
P30,,IOB,IO_WRITE,UNUSED,,(0,1)***,,,,,,,
P31,,IOB,IO_CS,UNUSED,,(0,1)***,,,,,,,
P32,,,TDI,,,,,,,,,,
P33,,,GND,,,,,,,,,,
P34,,,TDO,,,,,,,,,,
P35,,,VCCO,,,0,,,,,na,,
P36,,,VCCO,,,1,,,,,3.30,,
P37,,,CCLK,,,,,,,,,,
P38,,IOB,IO_DOUT_BUSY,UNUSED,,(1,2)***,,,,,,,
